CalBP,Z_GISP2_Temp_C,Z_PANGAEA_pollen_AP [%],Z_PANGAEA_pollen_AP-Pinus [%],Z_PANGAEA_pollen_Algae [%],Z_PANGAEA_pollen_Helophyte [%],Z_PANGAEA_pollen_Herbs [%],Z_PANGAEA_pollen_NAP [%],Z_PANGAEA_pollen_Poaceae+Cyperaceae [,Z_PANGAEA_pollen_Pollen aquat [%],Z_PANGAEA_pollen_Pollen mediterr [%],Z_PANGAEA_pollen_Pollen montane [%],Z_PANGAEA_pollen_Pollen pioneer [%],Z_PANGAEA_pollen_Pollen steppic [%],Z_PANGAEA_pollen_Pollen te [%],Z_PANGAEA_pollen_Shrubs [%],Z_PANGAEA_pollen_Spores [%],CCSI
7970,0.8303233880144081,0.5535810794086877,0.4790351788931451,-0.1093460911890356,-0.6364523380744944,-0.5425053203351844,-0.5535810794086917,-0.1973211392484008,-0.8815493368304363,1.6456955861637048,-0.5971016618587317,0.2808313199872196,-0.5173199648874167,-0.5712744119757495,1.1707047059461095,-0.4231085064867064,0.5730311128339073
7980,0.7304333423417322,0.4631886325835382,0.4073934050433905,-0.2128277719529957,-0.5769888880423458,-0.4775543411527317,-0.46318863258354004,-0.19319466019681,-0.8751916186152825,1.7775014600534715,-0.5411282963001336,0.17130672121499466,-0.4648597886584157,-0.7345644938587192,1.2303375038967164,-0.32513689431617554,0.4956067456514647
7990,0.623034186158861,0.3570347192311146,0.3180413223111472,-0.2904109177329481,-0.5051350040875418,-0.40101633802851233,-0.35703471923111374,-0.15496482411421883,-0.8564226328142006,1.8665814579920317,-0.46370825195271914,0.07643674776415281,-0.3965743192738208,-0.8913692444378161,1.252449358506422,-0.18668219646070025,0.3978564071851132
8000,0.5098117251547212,0.23011787917641774,0.20487612495375296,-0.3467304962181653,-0.4197651545711439,-0.30638856286663885,-0.23011787917642165,-0.07322626017072846,-0.8245261693572686,1.899238918621081,-0.36161558994425697,0.007338031466646993,-0.3075459315012998,-1.0403627002795344,1.2380879006951604,-7.583147187873758e-05,0.2741468559417991
8010,0.3927467203570683,0.07804400147689447,0.062378214574047096,-0.38643374489161747,-0.3199170597192097,-0.18789277296712342,-0.07804400147689389,0.0575383153684144,-0.7771347993381686,1.864862780792234,-0.2325568726945694,-0.027791027326412535,-0.192782516611228,-1.1813271989927154,1.1904188952668622,0.23987286741861893,0.11997071014679071
8020,0.27380015674642655,-0.10200126514515123,-0.11335977372417315,-0.41378992243549073,-0.20506330015516358,-0.04166720706394565,0.10200126514514707,0.23805606142501243,-0.7100806161151401,1.7574884966348574,-0.07552316333893043,-0.02403426033341491,-0.04784659351065202,-1.3150339954322068,1.1145158958619257,0.534189938344624,-0.06725858260926433
8030,0.1546118447418514,-0.31051149443299597,-0.3237891100898239,-0.43242029069124305,-0.07533723246429963,0.13334890134822389,0.3105114944329978,0.4639844491876485,-0.6175735276586383,1.576581427146567,0.10900435493942814,0.02022088015847785,0.1304948023606625,-1.4428463495456183,1.0173888831021909,0.8782538210513609,-0.28761015081600394
8040,0.03626453437981651,-0.5453399492324527,-0.5674367427080959,-0.44517209918295486,0.0683760766169924,0.33505459903003765,0.5453399492324497,0.7263107934319938,-0.49286223378450256,1.3269814490287968,0.3190441436210681,0.10337601607536485,0.3437050547090465,-1.5661901255877437,0.9081198176731372,1.2609148130776908,-0.5383653103546064
8050,-0.0808539037539144,-0.8018734946441688,-0.8399029379503667,-0.45412212553917647,0.22451490199974355,0.5584311905938587,0.8018734946441635,1.0123855762123624,-0.3294439799211923,1.0181475431835014,0.5513009375814316,0.2206681037520776,0.5910823088687249,-1.6860642572165319,0.7977946292242495,1.664593296447841,-0.8141349705821994
8060,-0.19707818535138363,-1.0736356168984924,-1.134296376249564,-0.4606707309696872,0.3910422194763347,0.7963171803531389,1.0736356168984909,1.3074409111625922,-0.12273905696128057,0.6629643465947664,0.8014936172403632,0.3641719970210902,0.8695791679466464,-1.8027284004394204,0.6989002386348507,2.0665942639331902,-1.1073422286368417
