,LabID,Age,Error,Material,Taxa,d13C,Method,Long,Lat,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,removal_reason
951,OXAX-224541,3720,90,,,,,0.296,16.733,2,,,Tin Alhar,Mali,,Africa,ManningTimpson2014,Svoboda J.A.  2008. Petrkovice. On Shouldered Points and Female Figurines. In The Doni Vestonice Studies Brno: 193-223. Bosinski G.. 1995 Quaternary field trips in Ecntral Europe Munchen.,Unknown lab ID
952,OXAX-225643,5725,45,bone,,,,27.9167,43.2167,1,,,Varna,Bulgaria,,Europe,Vermeersch2019,Courtesy Raiko KrauÔøΩ 2016,Unknown lab ID
953,OXAX-225644,5610,45,bone,,,,27.9167,43.2167,1,,,Varna,Bulgaria,,Europe,Vermeersch2019,Courtesy Raiko KrauÔøΩ 2016,Unknown lab ID
954,OXAX-225645,5555,45,bone,,,,27.9167,43.2167,1,,,Varna,Bulgaria,,Europe,Vermeersch2019,Courtesy Raiko KrauÔøΩ 2016,Unknown lab ID
955,OXAX-225646,5725,40,bone,,,,27.9167,43.2167,1,,,Varna,Bulgaria,,Europe,Vermeersch2019,Courtesy Raiko KrauÔøΩ 2016,Unknown lab ID
956,OXAX-225647,5860,60,bone,,,,27.9167,43.2167,1,,,Varna,Bulgaria,,Europe,Vermeersch2019,Pollard 2015,Unknown lab ID
957,OXAX-225654,3148,30,bone,,,,51.55,35.44,1,,,Tepe Pardis,Iran,,Asia,Vermeersch2019,Courtesy Raiko KrauÔøΩ 2016,Unknown lab ID
958,OXAX-225831,5703,36,bone,,,,27.9167,43.2167,1,,,Varna,Bulgaria,,Europe,Vermeersch2019,Manning K. 2010,Unknown lab ID
959,OXAX-226414,3687,30,Ceramic temper,,,,-0.143571,17.163702,2,,EB07,Ebelelit,Mali,,Africa,Kay_WestAfrica,Manning K. (2010). A developmental history for early West African agriculture. West African Archaeology : New developments new perspectives. BAR International Series 2164 pp. 43-52. ISBN 978 1 4073 0708 4,Unknown lab ID
960,OXAX-228411,5637,38,bone Homo sapiens,,-19.1,,23.2,38.6,1,,,Proskynas,Greece,,Europe,14SEA,Higham et al. 2011,Unknown lab ID
961,OXAX-228725,3687,30,,,,,0.183,16.933,2,,,Ebelelit,Mali,,Africa,ManningTimpson2014,Manning K. 2010,Unknown lab ID
962,OXAX-232310,3229,36,charcoal,,-22.5,,49.9262,35.7509,1,,,Tepe Sagzabad,Iran,,Asia,CALPAL; Vermeersch2019,Pollard 2011,Unknown lab ID
963,OXAX-238628,2390,40,ceramic residue (charred),,,,0.1697,52.1782,2,,,East Pit Lime Kiln Road Cherry Hinton,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
964,OXAX-238632,2370,40,ceramic residue (charred),,,,0.1697,52.1782,2,,,East Pit Lime Kiln Road Cherry Hinton,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
965,OXAX-238633,2287,22,charcoal (roundwood),,,,-1.6433,55.0312,2,,,West Brunton,United Kingdom,,Europe,Bevan2017,Proslov N.D. Rogachev A.D.(eds.) Palaeolithic at the Koskeni-Borschchevo area on the river Don. 1879) 1979 (results of field investigation). Leningrad 1982 (in russian). Marom   2012. PNAS 109: 6878-6881,Unknown lab ID
966,OXAX-241539,3858,28,charcoal,,,,0.6749,52.4761,2,,,Grime's Graves,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
967,OXAX-241543,3974,25,charcoal,,,,0.6749,52.4761,2,,,Grime's Graves,United Kingdom,,Europe,Bevan2017,Villa P. Soriano S. Tsanova T. Degano I. Higham T.F. d’Errico F. Backwell L. Lucejko J.J. Colombini M.P. and Beaumont P.B. 2012. Border cave and the beginning of the later stone age in South Africa.Proceedings of the National Academy of Sciences109(33) pp.13208-13213.,Unknown lab ID
968,OXAX-241847,35750,500,other,,,,31.983,-27.017,2,,,Border Cave,South Africa,,Africa,SARD,Higham et al. 2015,Unknown lab ID
969,OXAX-244641,4543,31,,,-29.17,,32.7286,25.915,1,,,Naqada,Egypt,,Africa,CALPAL; Vermeersch2019,,Unknown lab ID
970,OXAX-245552,35410,360,other,,,,31.983,-27.017,2,,,Border Cave,South Africa,,Africa,SARD,Oxford Egypt Database May 2015,Unknown lab ID
971,OXAX-245747,5293,35,bone,,0,,31.24,26.59,1,,,El-Badari,Egypt,,Africa,CALPAL; Vermeersch2019,,Unknown lab ID
972,OXAX-245748,5037,38,bone,,0,,31.24,26.59,1,,,El-Badari,Egypt,,Africa,CALPAL; Vermeersch2019,,Unknown lab ID
973,OXAX-245749,4749,34,other,,-20.12,,32.7286,25.915,1,,,Naqada,Egypt,,Africa,CALPAL,,Unknown lab ID
974,OXAX-245750,4843,37,other,,-19.48,,32.7286,25.915,1,,,Naqada,Egypt,,Africa,CALPAL; Vermeersch2019,,Unknown lab ID
975,OXAX-245751,4802,34,other,,-19.21,,32.7286,25.915,1,,,Naqada,Egypt,,Africa,CALPAL,,Unknown lab ID
976,OXAX-245847,4746,29,other,,-19.29,,32.7286,25.915,1,,,Naqada,Egypt,,Africa,CALPAL; Vermeersch2019,,Unknown lab ID
977,OXAX-245848,4686,29,other,,-18.53,,32.7286,25.915,1,,,Naqada,Egypt,,Africa,CALPAL,,Unknown lab ID
978,OXAX-246048,8905,70,charcoal,,,,27.817,-29.317,2,,,Ntloana TEcoana,Lesotho,,Africa,SARD,Roberts P. Lee-Thorp J.A. Mitchell P.J. and Arthur C. 2013. Stable carbon isotopic evidence for climate change across the late Pleistocene to early Holocene from Lesotho southern Africa.Journal of Quaternary Science28(4) pp.360-369.,Unknown lab ID
979,OXAX-246049,11830,90,charcoal,,,,27.817,-29.317,2,,,Ntloana TEcoana,Lesotho,,Africa,SARD,Birel S.  2015. Environmental Archaeology 20: 30-40. Vukosavljevid N. A C T A A R C H A E O L O G I C A C A R P A T H I C A VOL. LII 2017: 5-21.,Unknown lab ID
980,OXAX-246222,12510,55,,,,,14.04722,45.39222,2,,,Nugljanska Cave,Croatia,,Europe,Silva_VanderLinden_2017,Birel S.  2015. Environmental Archaeology 20: 30-40. Vukosavljevid N. A C T A A R C H A E O L O G I C A C A R P A T H I C A VOL. LII 2017: 5-21.,Unknown lab ID
981,OXAX-246226,11160,50,,,,,14.04722,45.39222,2,,,Nugljanska Cave,Croatia,,Europe,Silva_VanderLinden_2017,Nalawade 2014 PLoS ONE 9(1): e76896. doi:10.1371/journal.pone.0076896,Unknown lab ID
982,OXAX-24656,3740,30,tooth,,,,-6.2772,49.9589,2,,,Par Beach St Martins isles of Scilly,United Kingdom,,Europe,Bevan2017,,Unknown lab ID
983,OXAX-246833,5195,75,charcoal,,,,22.3825,36.6383,1,,,Alepotrypa Diros,Greece,,Europe,Vermeersch2019,Bonneau A. Staff R.A. Higham T. Brock F. Pearce D.G. and Mitchell P.J. 2017. Successfully dating rock art in southern Africa using improved sampling methods and new characterization and pretreatment protocols.Radiocarbon59(3) pp.659-677.,Unknown lab ID
984,OXAX-247048,390,70,other,,,,27.8,-29.333,2,,,Ha Makotoko,Lesotho,,Africa,SARD,Bonneau A. Staff R.A. Higham T. Brock F. Pearce D.G. and Mitchell P.J. 2017. Successfully dating rock art in southern Africa using improved sampling methods and new characterization and pretreatment protocols.Radiocarbon59(3) pp.659-677.,Unknown lab ID
985,OXAX-247049,300,65,other,,,,27.8,-29.333,2,,,Ha Makotoko,Lesotho,,Africa,SARD,,Unknown lab ID
986,OXAX-247357,4582,29,other,,-24.24,,,,0,,,Ballas,Egypt,,Africa,CALPAL,,Unknown lab ID
987,OXAX-247855,8530,45,bone,,,,22.605,44.627,2,,,Schela Cladovei,Romania,,Europe,Silva_VanderLinden_2017,Nalawade-Chavan et al. 2013,Unknown lab ID
988,OXAX-247856,8505,25,bone,,,,22.605,44.627,2,,,Schela Cladovei,Romania,,Europe,Silva_VanderLinden_2017,Nalawade-Chavan et al. 2013,Unknown lab ID
989,OXAX-247857,8395,40,bone,,,,22.605,44.627,2,,,Schela Cladovei,Romania,,Europe,Silva_VanderLinden_2017,Nalawade-Chavan et al. 2013,Unknown lab ID
990,OXAX-247938,8460,45,bone,,,,22.605,44.627,2,,,Schela Cladovei,Romania,,Europe,Silva_VanderLinden_2017,Langlais M.  2015. BSPF 112: 5-58. Barshay-Szmidt C.  Quaternary International 414 (2016) 62-91.,Unknown lab ID
991,OXAX-248526,4785,32,tissue,,-22.08,,32.7286,25.915,1,,,Naqada,Egypt,,Africa,CALPAL; Vermeersch2019,,Unknown lab ID
992,OXAX-248527,1179,25,hair,,-23.56,,32.7286,25.915,1,,,Naqada,Egypt,,Africa,CALPAL,,Unknown lab ID
993,OXAX-249527,470,90,other,,,,27.8,-29.333,2,,,Ha Makotoko,Lesotho,,Africa,SARD,,Unknown lab ID
994,OXAX-249755,4377,31,bone,,-18.15,,31.8833,26.1833,1,,,Abydos Umm el-Qa'ab,Egypt,,Africa,CALPAL,,Unknown lab ID
995,OXAX-25047,6929,39,antler,,,,21.101,43.72,2,,,Blagotin-Poljna,Serbia,,Europe,Silva_VanderLinden_2017,Orton n.d.,Unknown lab ID
996,OXAX-25048,7045,40,bone,,,,21.101,43.72,2,,,Blagotin-Poljna,Serbia,,Europe,Silva_VanderLinden_2017,Oross et al. 2016,Unknown lab ID
997,OXAX-250850,5815,35,bone,,,,18.703,46.21,2,,,Alsónyék – Bátaszék,Hungary,,Europe,Silva_VanderLinden_2017,Skerlj B. 1955. Journal of Anthropological Research: 10. Moreau L.  JHE 78: 158-180.,Unknown lab ID
998,OXAX-255526,575,75,other,,,,27.8,-29.333,2,,,Ha Makotoko,Lesotho,,Africa,SARD,Bonneau A. Staff R.A. Higham T. Brock F. Pearce D.G. and Mitchell P.J. 2017. Successfully dating rock art in southern Africa using improved sampling methods and new characterization and pretreatment protocols.Radiocarbon59(3) pp.659-677.,Unknown lab ID
999,OXAX-255539,410,130,other,,,,27.8,-29.333,2,,,Ha Makotoko,Lesotho,,Africa,SARD,Bonneau A. Staff R.A. Higham T. Brock F. Pearce D.G. and Mitchell P.J. 2017. Successfully dating rock art in southern Africa using improved sampling methods and new characterization and pretreatment protocols.Radiocarbon59(3) pp.659-677.,Unknown lab ID
1000,OXAX-255540,760,120,other,,,,27.8,-29.333,2,,,Ha Makotoko,Lesotho,,Africa,SARD,Oross et al. 2016,Unknown lab ID
1001,OXAX-258319,6906,34,bone,,,,18.703,46.21,2,,,Alsónyék – Bátaszék,Hungary,,Europe,Silva_VanderLinden_2017,Higham et al. 2015,Unknown lab ID
1002,OXAX-258627,6625,40,bone,,,,18.703,46.21,2,,,Alsónyék – Bátaszék,Hungary,,Europe,Silva_VanderLinden_2017,Oross et al. 2016,Unknown lab ID
1003,OXAX-258714,6230,35,bone,,,,18.703,46.21,2,,,Alsónyék – Bátaszék,Hungary,,Europe,Silva_VanderLinden_2017,Higham et al. 2015,Unknown lab ID
1004,OXAX-2621,4557,28,tooth,,,,10.379,45.26,1,,,Remedello,Italy,,Europe,Vermeersch2019,,Unknown lab ID
1005,OXAX-26219,6765,38,bone,,,,22.4239,37.0552,1,,,Kouphovouno,Greece,,Europe,Vermeersch2019,Petillon J.-M.  2015. QI 364: 126-143. Barshay-Szmidt C.  Quaternary International 414 (2016) 62-91.,Unknown lab ID
